epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.7328,1.83173,3.88317,1.52006,0.0112,0.54395,0.07362,0.04806,1.37372,3.94645,1.2362,0.0001375,0.0001375,0.0001375
2,46.6132,1.80665,3.20951,1.45248,0.01692,0.6562,0.11638,0.04585,1.54203,3.73733,1.25282,0.000286077,0.000286077,0.000286077
3,61.9185,1.71409,2.62485,1.36098,0.02068,0.78907,0.25122,0.13589,1.4816,3.27588,1.2146,0.000433169,0.000433169,0.000433169
4,76.8226,1.65724,2.39087,1.35497,0.69028,0.18891,0.28757,0.1499,1.5932,3.01494,1.30193,0.000578776,0.000578776,0.000578776
5,93.6169,1.65272,2.2548,1.38286,0.6926,0.2395,0.4296,0.2445,1.56266,2.77405,1.28678,0.000722897,0.000722897,0.000722897
6,110.319,1.65778,2.10737,1.36678,0.52149,0.3109,0.33486,0.15931,1.60716,2.72066,1.28909,0.000865534,0.000865534,0.000865534
