epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.9403,1.868,3.96667,1.53816,0.00605,0.4634,0.04112,0.02057,1.56386,4.01634,1.37459,2.5e-05,2.5e-05,2.5e-05
2,67.29,1.85451,3.92368,1.52675,0.00773,0.52989,0.05728,0.02588,1.4512,3.98591,1.29599,6.18813e-05,6.18813e-05,6.18813e-05
3,91.8491,1.71606,3.82528,1.40792,0.01078,0.58013,0.05595,0.03524,1.39667,3.93158,1.2246,9.802e-05,9.802e-05,9.802e-05
4,122.37,1.73079,3.64058,1.39264,0.01464,0.63893,0.09302,0.04903,1.42817,3.86973,1.17652,0.000133416,0.000133416,0.000133416
5,156.528,1.69294,3.3118,1.37669,0.01563,0.64299,0.08953,0.04374,1.54823,3.81402,1.20704,0.00016807,0.00016807,0.00016807
6,180.309,1.71468,3.02719,1.372,0.0153,0.66294,0.11368,0.05606,1.54252,3.6895,1.19382,0.000201981,0.000201981,0.000201981
7,207.839,1.71677,2.67649,1.33176,0.01638,0.74349,0.12499,0.0788,1.43457,3.51914,1.16346,0.00023515,0.00023515,0.00023515
8,235.457,1.66201,2.49564,1.30672,0.01699,0.79658,0.17153,0.08518,1.45206,3.41699,1.17298,0.000267576,0.000267576,0.000267576
9,266.025,1.57601,2.29783,1.27564,0.01547,0.75203,0.18344,0.07739,1.47407,3.35003,1.19721,0.00029926,0.00029926,0.00029926
10,291.156,1.56662,2.25444,1.30335,0.70902,0.03298,0.21148,0.10409,1.46931,3.23123,1.18304,0.000330201,0.000330201,0.000330201
11,323.059,1.54104,2.12407,1.29826,0.81817,0.03315,0.23581,0.11529,1.4836,3.16005,1.19751,0.0003604,0.0003604,0.0003604
12,354.666,1.49716,2.09753,1.27377,0.01861,0.78907,0.24103,0.11318,1.38331,3.15089,1.18669,0.000389856,0.000389856,0.000389856
13,381.811,1.47543,1.9623,1.28952,0.43542,0.04843,0.27233,0.14444,1.39281,3.1102,1.18726,0.00041857,0.00041857,0.00041857
14,409.212,1.47606,1.92579,1.28183,0.78471,0.04558,0.21439,0.11305,1.43427,3.05908,1.20854,0.000446541,0.000446541,0.000446541
15,440.19,1.51682,1.96318,1.29798,0.76184,0.041,0.23297,0.12133,1.46537,2.98545,1.21489,0.00047377,0.00047377,0.00047377
16,465.725,1.49341,1.92058,1.27678,0.79602,0.03419,0.22066,0.10702,1.53085,3.05023,1.23131,0.000500256,0.000500256,0.000500256
17,491.006,1.46857,1.9091,1.26754,0.61396,0.14781,0.21244,0.11402,1.49419,3.10652,1.20972,0.000526,0.000526,0.000526
18,524.313,1.43521,1.84583,1.26444,0.58235,0.13215,0.13015,0.08133,1.45733,3.11981,1.21966,0.000551001,0.000551001,0.000551001
19,584.5,1.45953,1.83444,1.2667,0.80553,0.03704,0.17516,0.09554,1.4949,3.14407,1.25502,0.00057526,0.00057526,0.00057526
20,614.735,1.41705,1.77075,1.23283,0.82944,0.0742,0.22931,0.15129,1.56576,3.31636,1.27486,0.000598776,0.000598776,0.000598776
21,659.377,1.38329,1.76384,1.23144,0.45801,0.14473,0.18513,0.11495,1.57427,3.25378,1.31715,0.00062155,0.00062155,0.00062155
22,696.291,1.42057,1.79168,1.2396,0.51876,0.18569,0.22244,0.1455,1.5443,3.08044,1.30406,0.000643581,0.000643581,0.000643581
23,730.913,1.43672,1.73672,1.24478,0.78008,0.11994,0.19395,0.11928,1.6059,3.19359,1.32372,0.00066487,0.00066487,0.00066487
24,766.373,1.44107,1.71961,1.24461,0.76236,0.12271,0.20731,0.11345,1.77053,3.3978,1.44817,0.000685416,0.000685416,0.000685416
25,796.674,1.39993,1.67053,1.23567,0.79919,0.1465,0.21723,0.14609,1.68678,3.3442,1.45473,0.00070522,0.00070522,0.00070522
26,827.456,1.41303,1.69462,1.21886,0.6207,0.15043,0.26097,0.12694,1.67095,3.43476,1.45523,0.000724281,0.000724281,0.000724281
27,863.255,1.43357,1.71942,1.24085,0.19191,0.18661,0.15601,0.09951,1.67957,3.36219,1.46228,0.0007426,0.0007426,0.0007426
28,899.264,1.41697,1.66111,1.23794,0.16384,0.19782,0.09786,0.05803,1.69085,3.43024,1.39842,0.000760176,0.000760176,0.000760176
