epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.3575,1.868,3.96667,1.53816,0.00605,0.4634,0.04112,0.02057,1.56386,4.01634,1.37459,2.5e-05,2.5e-05,2.5e-05
2,33.3774,1.85455,3.9236,1.52692,0.00774,0.52989,0.05752,0.02597,1.45222,3.98631,1.29688,6.21906e-05,6.21906e-05,6.21906e-05
3,45.6701,1.71565,3.82462,1.40776,0.01058,0.57729,0.0566,0.0359,1.39722,3.93424,1.22395,9.901e-05,9.901e-05,9.901e-05
4,59.8937,1.73306,3.63906,1.39398,0.01417,0.60578,0.09364,0.04949,1.42719,3.86996,1.17668,0.000135458,0.000135458,0.000135458
5,75.2147,1.6904,3.30734,1.37702,0.01601,0.6676,0.09334,0.043,1.53514,3.8028,1.19957,0.000171535,0.000171535,0.000171535
6,91.9874,1.72226,3.01939,1.37858,0.01543,0.66294,0.10405,0.04851,1.53763,3.67515,1.18722,0.000207241,0.000207241,0.000207241
7,109.583,1.71837,2.66404,1.33706,0.01588,0.71603,0.10309,0.05374,1.48693,3.52016,1.18557,0.000242575,0.000242575,0.000242575
8,126.129,1.65123,2.48535,1.31152,0.01696,0.79943,0.15621,0.07896,1.5085,3.41825,1.1991,0.000277538,0.000277538,0.000277538
9,144.092,1.57226,2.28735,1.28158,0.01628,0.7301,0.17042,0.07533,1.50783,3.33948,1.20885,0.00031213,0.00031213,0.00031213
10,161.841,1.56247,2.26007,1.31314,0.82389,0.06672,0.21661,0.09386,1.51811,3.25313,1.25092,0.000346351,0.000346351,0.000346351
11,185.908,1.53225,2.10775,1.30153,0.72259,0.03752,0.22259,0.12842,1.49664,3.15272,1.20999,0.0003802,0.0003802,0.0003802
12,205.874,1.51058,2.09766,1.28269,0.0192,0.76143,0.24006,0.12683,1.46575,3.10903,1.20709,0.000413678,0.000413678,0.000413678
13,223.196,1.4703,1.96475,1.28776,0.01624,0.74737,0.26826,0.15073,1.42845,3.10951,1.20607,0.000446785,0.000446785,0.000446785
14,242.319,1.4587,1.91209,1.2848,0.58128,0.15462,0.22534,0.12261,1.4609,3.08877,1.22698,0.000479521,0.000479521,0.000479521
15,261.446,1.48873,1.94661,1.29969,0.21137,0.40019,0.26751,0.13447,1.61568,3.16898,1.33204,0.000511885,0.000511885,0.000511885
16,279.402,1.48507,1.92694,1.29333,0.60208,0.19267,0.28754,0.13109,1.54506,3.15337,1.33058,0.000543878,0.000543878,0.000543878
17,299.925,1.45309,1.902,1.26363,0.90186,0.03704,0.21258,0.13507,1.60461,3.14913,1.3652,0.0005755,0.0005755,0.0005755
18,329.65,1.43692,1.84593,1.26177,0.56517,0.03419,0.14991,0.09938,1.602,3.09005,1.39641,0.000606751,0.000606751,0.000606751
19,364.408,1.47752,1.82914,1.26304,0.50592,0.02564,0.11945,0.07741,1.64982,3.20769,1.38876,0.00063763,0.00063763,0.00063763
20,388.675,1.43091,1.76314,1.22811,0.5286,0.07689,0.1605,0.10717,1.782,3.38547,1.48882,0.000668138,0.000668138,0.000668138
21,417.144,1.41642,1.79449,1.24093,0.55353,0.14455,0.25077,0.18666,1.65111,3.24231,1.36779,0.000698275,0.000698275,0.000698275
22,462.313,1.43228,1.78248,1.23603,0.37224,0.11985,0.23386,0.14772,1.56381,3.00178,1.2723,0.000728041,0.000728041,0.000728041
23,502.703,1.45126,1.7346,1.25566,0.70043,0.13926,0.22807,0.16811,1.57928,3.12736,1.29985,0.000757435,0.000757435,0.000757435
24,531.276,1.44287,1.7428,1.25854,0.41639,0.07998,0.24164,0.16554,1.612,3.2293,1.36264,0.000786458,0.000786458,0.000786458
25,555.649,1.41293,1.67708,1.24399,0.4629,0.11643,0.22125,0.163,1.66818,3.17182,1.3873,0.00081511,0.00081511,0.00081511
26,577.372,1.41417,1.70594,1.22772,0.39794,0.04247,0.12279,0.07478,1.68434,3.43803,1.39089,0.000843391,0.000843391,0.000843391
27,598.058,1.43871,1.73996,1.25784,0.37028,0.10044,0.13173,0.08526,1.66421,3.53957,1.37707,0.0008713,0.0008713,0.0008713
28,620.522,1.44493,1.71422,1.25424,0.46918,0.08159,0.20422,0.12961,1.69855,3.26872,1.38659,0.000898838,0.000898838,0.000898838
29,654.059,1.44555,1.65289,1.25818,0.37698,0.23796,0.20111,0.123,1.7121,3.18096,1.42034,0.000926005,0.000926005,0.000926005
30,678.862,1.4057,1.64551,1.21369,0.23815,0.28625,0.23958,0.14818,1.69087,3.06053,1.37877,0.000952801,0.000952801,0.000952801
31,719.674,1.47609,1.7399,1.2735,0.38216,0.23098,0.2455,0.15969,1.7688,2.99699,1.49263,0.000979225,0.000979225,0.000979225
32,776.151,1.42126,1.62558,1.22046,0.56365,0.27855,0.29673,0.18407,1.74597,2.82816,1.43198,0.00100528,0.00100528,0.00100528
33,821.494,1.43475,1.69564,1.25735,0.57436,0.20206,0.29963,0.16567,1.72035,2.84893,1.4153,0.00103096,0.00103096,0.00103096
34,856.801,1.3839,1.60833,1.22594,0.63099,0.20552,0.24749,0.14183,1.81821,2.9075,1.46949,0.00104581,0.00104581,0.00104581
35,883.023,1.37925,1.58755,1.20861,0.36844,0.39347,0.30236,0.18811,1.69331,2.7259,1.41325,0.00103962,0.00103962,0.00103962
36,908.718,1.46056,1.66151,1.25884,0.5718,0.19248,0.16902,0.09098,1.74066,2.9023,1.44944,0.00103344,0.00103344,0.00103344
37,931.836,1.41992,1.59008,1.2492,0.61065,0.17037,0.13462,0.08178,1.82765,3.19214,1.63196,0.00102725,0.00102725,0.00102725
38,958.919,1.43455,1.56656,1.23389,0.52086,0.20312,0.1578,0.07145,1.93572,3.01403,1.6252,0.00102106,0.00102106,0.00102106
39,990.085,1.41492,1.6027,1.23984,0.64878,0.1114,0.14966,0.07916,1.99553,3.16685,1.74015,0.00101488,0.00101488,0.00101488
40,1020.2,1.41176,1.55318,1.23169,0.47811,0.13989,0.13752,0.08886,1.82049,3.13491,1.6557,0.00100869,0.00100869,0.00100869
41,1042.35,1.43921,1.5576,1.23941,0.36277,0.27656,0.25399,0.15756,1.62867,2.79378,1.36871,0.0010025,0.0010025,0.0010025
42,1066.19,1.39333,1.55558,1.21729,0.60265,0.32172,0.34081,0.17606,1.61163,2.59694,1.33248,0.000996313,0.000996313,0.000996313
43,1100.04,1.35497,1.48492,1.20288,0.51188,0.35729,0.3222,0.16925,1.52781,2.37131,1.31073,0.000990125,0.000990125,0.000990125
44,1124.09,1.36603,1.52684,1.23086,0.40848,0.35815,0.32565,0.17768,1.6256,2.2538,1.35202,0.000983938,0.000983938,0.000983938
45,1164.43,1.35202,1.47995,1.23188,0.24756,0.28596,0.23903,0.14172,1.57416,2.32906,1.38827,0.00097775,0.00097775,0.00097775
46,1191.7,1.33173,1.52108,1.19877,0.43272,0.21577,0.25735,0.12892,1.63897,2.48821,1.40998,0.000971562,0.000971562,0.000971562
47,1227.23,1.40178,1.51842,1.22433,0.26766,0.2568,0.23284,0.10877,1.63993,2.45275,1.39486,0.000965375,0.000965375,0.000965375
48,1255.28,1.29421,1.40466,1.18043,0.56157,0.29448,0.31239,0.1672,1.69978,2.49855,1.43867,0.000959187,0.000959187,0.000959187
49,1277.89,1.37732,1.53362,1.20545,0.56319,0.31792,0.32937,0.21715,1.53131,2.52607,1.35059,0.000953,0.000953,0.000953
50,1311.36,1.33968,1.48088,1.20221,0.64266,0.28476,0.28166,0.16,1.55284,2.53025,1.3954,0.000946812,0.000946812,0.000946812
51,1343.75,1.38353,1.46226,1.20605,0.63203,0.36579,0.3244,0.19129,1.46326,2.19918,1.31246,0.000940625,0.000940625,0.000940625
52,1370.51,1.35739,1.41809,1.19399,0.36218,0.35037,0.30019,0.18176,1.54825,2.16512,1.33975,0.000934438,0.000934438,0.000934438
53,1396.12,1.42674,1.45634,1.21399,0.62504,0.30904,0.2834,0.17133,1.46336,2.14971,1.30225,0.00092825,0.00092825,0.00092825
54,1421.8,1.30457,1.40714,1.16661,0.46479,0.32634,0.29546,0.18201,1.5825,2.10819,1.34774,0.000922063,0.000922063,0.000922063
55,1450.08,1.32782,1.39722,1.19238,0.76718,0.24696,0.33241,0.21193,1.54031,2.14582,1.35511,0.000915875,0.000915875,0.000915875
56,1475.22,1.33757,1.43031,1.21013,0.67738,0.37057,0.35338,0.24774,1.48061,1.95751,1.29236,0.000909688,0.000909688,0.000909688
