epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1502.45,1.34501,1.42319,1.19299,0.52544,0.38688,0.35538,0.23645,1.45332,1.88653,1.26549,0.0009035,0.0009035,0.0009035
58,1536.36,1.30592,1.40034,1.18996,0.43644,0.41456,0.33377,0.21929,1.54077,2.05101,1.32021,0.000897313,0.000897313,0.000897313
59,1581.85,1.27076,1.34449,1.17052,0.66384,0.33513,0.38868,0.28914,1.46205,1.96744,1.26234,0.000891125,0.000891125,0.000891125
60,1618.51,1.3182,1.37833,1.1999,0.66855,0.40155,0.3998,0.28176,1.51544,2.09949,1.32154,0.000884938,0.000884938,0.000884938
61,1669.39,1.30675,1.36365,1.16648,0.57314,0.38092,0.35054,0.24991,1.61189,1.86706,1.35397,0.00087875,0.00087875,0.00087875
62,1730.96,1.35656,1.38922,1.17263,0.50095,0.38104,0.33745,0.23337,1.63631,1.97879,1.43466,0.000872563,0.000872563,0.000872563
63,1779.61,1.29118,1.31105,1.16821,0.37451,0.25735,0.23712,0.15625,1.56387,1.9711,1.36445,0.000866375,0.000866375,0.000866375
64,1840.02,1.28839,1.34994,1.17367,0.45192,0.36965,0.35697,0.22294,1.56918,2.00401,1.37829,0.000860188,0.000860188,0.000860188
65,1883.79,1.26131,1.31826,1.16618,0.7352,0.3153,0.34434,0.22516,1.50832,2.06871,1.3508,0.000854,0.000854,0.000854
66,1923.29,1.28964,1.30985,1.1726,0.68954,0.28511,0.3397,0.2344,1.46712,2.18614,1.31848,0.000847813,0.000847813,0.000847813
67,1978.89,1.31299,1.31541,1.19528,0.68701,0.35319,0.35799,0.23899,1.42812,2.00051,1.29172,0.000841625,0.000841625,0.000841625
68,2088.46,1.16244,1.23718,1.108,0.53726,0.34685,0.31751,0.22926,1.43688,2.20087,1.29229,0.000835438,0.000835438,0.000835438
69,2155.34,1.26906,1.29031,1.17147,0.53428,0.35663,0.33962,0.24967,1.46301,2.08502,1.30298,0.00082925,0.00082925,0.00082925
70,2201.3,1.24027,1.26057,1.12553,0.75678,0.33076,0.36695,0.27829,1.35453,1.99068,1.21553,0.000823063,0.000823063,0.000823063
71,2258.61,1.23725,1.26476,1.1381,0.88103,0.30515,0.35217,0.25274,1.39741,1.89649,1.23685,0.000816875,0.000816875,0.000816875
72,3178.43,1.26631,1.30242,1.14121,0.52594,0.18037,0.18144,0.13154,1.40235,1.85548,1.25138,0.000810688,0.000810688,0.000810688
