epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,299.966,1.47606,1.92579,1.28183,0.78471,0.04558,0.21439,0.11305,1.43427,3.05908,1.20854,0.000446541,0.000446541,0.000446541
15,358.409,1.51682,1.96318,1.29798,0.76184,0.041,0.23297,0.12133,1.46537,2.98545,1.21489,0.00047377,0.00047377,0.00047377
16,397.219,1.49341,1.92058,1.27678,0.79602,0.03419,0.22066,0.10702,1.53085,3.05023,1.23131,0.000500256,0.000500256,0.000500256
17,431.286,1.46857,1.9091,1.26754,0.61396,0.14781,0.21244,0.11402,1.49419,3.10652,1.20972,0.000526,0.000526,0.000526
18,463.849,1.43521,1.84583,1.26444,0.58235,0.13215,0.13015,0.08133,1.45733,3.11981,1.21966,0.000551001,0.000551001,0.000551001
19,500.557,1.45953,1.83444,1.2667,0.80553,0.03704,0.17516,0.09554,1.4949,3.14407,1.25502,0.00057526,0.00057526,0.00057526
20,534.459,1.41705,1.77075,1.23283,0.82944,0.0742,0.22931,0.15129,1.56576,3.31636,1.27486,0.000598776,0.000598776,0.000598776
21,586.853,1.38329,1.76384,1.23144,0.45801,0.14473,0.18513,0.11495,1.57427,3.25378,1.31715,0.00062155,0.00062155,0.00062155
22,644.469,1.42057,1.79168,1.2396,0.51876,0.18569,0.22244,0.1455,1.5443,3.08044,1.30406,0.000643581,0.000643581,0.000643581
23,695.832,1.43672,1.73672,1.24478,0.80904,0.13134,0.21206,0.13089,1.6059,3.19359,1.32372,0.00066487,0.00066487,0.00066487
24,732.345,1.44107,1.71961,1.24461,0.7765,0.1782,0.30444,0.17569,1.77053,3.3978,1.44817,0.000685416,0.000685416,0.000685416
25,760.111,1.39993,1.67053,1.23567,0.79919,0.1465,0.21723,0.14609,1.68678,3.3442,1.45473,0.00070522,0.00070522,0.00070522
26,782.252,1.41303,1.69462,1.21886,0.6207,0.15043,0.26066,0.1268,1.67095,3.43476,1.45523,0.000724281,0.000724281,0.000724281
27,807.88,1.43357,1.71942,1.24085,0.20332,0.23401,0.17104,0.11024,1.67957,3.36219,1.46228,0.0007426,0.0007426,0.0007426
28,837.092,1.41697,1.66111,1.23794,0.16296,0.23383,0.11026,0.06699,1.69085,3.43024,1.39842,0.000760176,0.000760176,0.000760176
29,874.828,1.43052,1.63706,1.23962,0.27389,0.21691,0.20945,0.12403,1.69955,3.06995,1.37363,0.00077701,0.00077701,0.00077701
30,900.995,1.39188,1.62664,1.19815,0.36171,0.23366,0.22577,0.15837,1.61053,3.00608,1.34609,0.000793101,0.000793101,0.000793101
31,927.311,1.45387,1.73411,1.25957,0.36984,0.16633,0.19715,0.12253,1.72067,3.14168,1.4244,0.00080845,0.00080845,0.00080845
32,967.009,1.38216,1.60032,1.1971,0.35386,0.24685,0.24549,0.16915,1.68737,3.02277,1.46596,0.000823056,0.000823056,0.000823056
33,1007.28,1.39038,1.61387,1.21983,0.3767,0.19987,0.24715,0.15448,1.86726,3.26403,1.63157,0.00083692,0.00083692,0.00083692
34,1032.73,1.36178,1.54593,1.19551,0.62839,0.15903,0.19194,0.11436,1.9308,3.41507,1.673,0.000841625,0.000841625,0.000841625
35,1055.4,1.3467,1.53528,1.18067,0.6069,0.10285,0.13791,0.09445,2.14979,4.06041,1.99743,0.00082925,0.00082925,0.00082925
36,1081.67,1.43455,1.61099,1.23038,0.18819,0.24237,0.12537,0.0719,1.95087,4.51561,1.69741,0.000816875,0.000816875,0.000816875
37,1107.09,1.35991,1.55674,1.20157,0.23647,0.23486,0.16986,0.10498,1.67539,3.55113,1.43286,0.0008045,0.0008045,0.0008045
38,1131.04,1.38482,1.54527,1.21088,0.63956,0.22849,0.21985,0.16833,1.67856,2.98071,1.44794,0.000792125,0.000792125,0.000792125
39,1156.29,1.37987,1.59481,1.23333,0.25898,0.25613,0.2069,0.14841,1.68446,2.96395,1.46985,0.00077975,0.00077975,0.00077975
40,1184.1,1.37027,1.54543,1.2096,0.31862,0.23219,0.25615,0.17606,1.69291,2.66726,1.43251,0.000767375,0.000767375,0.000767375
41,1206.21,1.38027,1.52832,1.20516,0.64843,0.29972,0.343,0.22806,1.51967,2.4879,1.30566,0.000755,0.000755,0.000755
42,1233.27,1.35093,1.51278,1.19053,0.34636,0.43052,0.36387,0.22751,1.47441,2.40017,1.26496,0.000742625,0.000742625,0.000742625
43,1260.41,1.3184,1.4381,1.18521,0.60996,0.28746,0.39377,0.26998,1.49979,2.55373,1.29816,0.00073025,0.00073025,0.00073025
44,1302.56,1.31838,1.4738,1.20239,0.48671,0.45711,0.36874,0.27687,1.49155,2.5865,1.30437,0.000717875,0.000717875,0.000717875
45,1345.78,1.30744,1.44191,1.20496,0.59939,0.31831,0.30301,0.20928,1.484,2.47838,1.2913,0.0007055,0.0007055,0.0007055
46,1378.18,1.28404,1.46863,1.17766,0.42021,0.37595,0.36025,0.23739,1.50904,2.52469,1.29566,0.000693125,0.000693125,0.000693125
47,1417.87,1.3481,1.46633,1.19934,0.52815,0.31292,0.31019,0.19525,1.51248,2.24092,1.26709,0.00068075,0.00068075,0.00068075
48,1451.46,1.2565,1.34955,1.16773,0.55758,0.35359,0.32299,0.1883,1.54622,2.35898,1.29304,0.000668375,0.000668375,0.000668375
49,1478.29,1.31924,1.47641,1.18765,0.56599,0.38692,0.3748,0.25286,1.43775,2.26829,1.22688,0.000656,0.000656,0.000656
50,1531.28,1.27196,1.42824,1.1667,0.55199,0.45543,0.44425,0.29397,1.41293,2.28388,1.26911,0.000643625,0.000643625,0.000643625
51,1571.32,1.32009,1.39237,1.17879,0.62615,0.38873,0.39653,0.25463,1.39112,2.21589,1.23382,0.00063125,0.00063125,0.00063125
52,1616.78,1.29619,1.37635,1.16899,0.59558,0.45522,0.39644,0.25891,1.50296,2.16275,1.25324,0.000618875,0.000618875,0.000618875
53,1657.09,1.35419,1.39141,1.18674,0.78763,0.36492,0.37575,0.24268,1.48486,2.08784,1.23766,0.0006065,0.0006065,0.0006065
54,1694.89,1.25342,1.34939,1.14196,0.57038,0.38643,0.32615,0.21196,1.45421,2.10242,1.21108,0.000594125,0.000594125,0.000594125
55,1735.8,1.28774,1.342,1.17154,0.64754,0.34884,0.34075,0.22605,1.407,2.11327,1.20834,0.00058175,0.00058175,0.00058175
56,1774.46,1.28819,1.36842,1.18257,0.33748,0.38511,0.29453,0.20856,1.4063,2.03154,1.23322,0.000569375,0.000569375,0.000569375
57,1814.09,1.27477,1.35426,1.14962,0.34333,0.36602,0.31306,0.21466,1.34528,1.91359,1.18911,0.000557,0.000557,0.000557
58,1845.44,1.24844,1.33216,1.1585,0.4017,0.40505,0.31713,0.21862,1.34736,1.93497,1.17668,0.000544625,0.000544625,0.000544625
59,1878.45,1.2115,1.28587,1.13056,0.51226,0.35377,0.33594,0.22344,1.38135,2.0222,1.20778,0.00053225,0.00053225,0.00053225
60,1908.19,1.25335,1.29609,1.16838,0.5841,0.36232,0.34203,0.23986,1.32873,2.01982,1.17981,0.000519875,0.000519875,0.000519875
61,1936.74,1.22853,1.28074,1.13118,0.48226,0.40401,0.31965,0.22626,1.2869,1.93391,1.15799,0.0005075,0.0005075,0.0005075
62,1969.36,1.28436,1.32788,1.14771,0.62561,0.32199,0.33617,0.22683,1.30918,1.97518,1.17875,0.000495125,0.000495125,0.000495125
63,1999.59,1.21849,1.24898,1.13741,0.56998,0.3261,0.3808,0.26808,1.2516,1.84968,1.12797,0.00048275,0.00048275,0.00048275
64,2022.29,1.22048,1.28919,1.14378,0.75304,0.43067,0.41923,0.3037,1.225,1.74051,1.12008,0.000470375,0.000470375,0.000470375
65,2047.85,1.17661,1.23152,1.12245,0.74193,0.35377,0.3961,0.30252,1.28412,1.78503,1.16372,0.000458,0.000458,0.000458
66,2073.65,1.23143,1.2614,1.14212,0.66775,0.36232,0.37278,0.28244,1.29468,1.94572,1.19289,0.000445625,0.000445625,0.000445625
67,2101.07,1.23686,1.24628,1.14949,0.7464,0.37837,0.36406,0.26986,1.28362,1.98289,1.17786,0.00043325,0.00043325,0.00043325
68,2128.24,1.08801,1.15814,1.07066,0.71143,0.39346,0.39938,0.28943,1.25443,1.89374,1.13117,0.000420875,0.000420875,0.000420875
69,2158.07,1.19005,1.2388,1.12596,0.71983,0.41055,0.4232,0.30886,1.22223,1.72961,1.12973,0.0004085,0.0004085,0.0004085
70,2188.45,1.16411,1.19146,1.09,0.73587,0.36801,0.38795,0.28965,1.20767,1.65733,1.12944,0.000396125,0.000396125,0.000396125
71,2214.6,1.15938,1.18581,1.10069,0.75559,0.39573,0.42343,0.31209,1.25158,1.66802,1.16339,0.00038375,0.00038375,0.00038375
72,2244.6,1.18979,1.25369,1.10963,0.74399,0.4251,0.4603,0.34306,1.2343,1.63397,1.16705,0.000371375,0.000371375,0.000371375
73,2273.32,1.14286,1.16884,1.10092,0.82888,0.40031,0.46413,0.35712,1.16288,1.64099,1.11373,0.000359,0.000359,0.000359
74,2301.7,1.13021,1.14994,1.10723,0.76846,0.4082,0.45175,0.34332,1.14048,1.67347,1.0992,0.000346625,0.000346625,0.000346625
75,2332.61,1.11484,1.16514,1.08921,0.6764,0.40426,0.45478,0.35042,1.15199,1.69539,1.10913,0.00033425,0.00033425,0.00033425
76,2356.05,1.12207,1.12438,1.07515,0.58694,0.43468,0.4178,0.31649,1.14233,1.73576,1.1058,0.000321875,0.000321875,0.000321875
77,2384.04,1.12926,1.13417,1.08772,0.60116,0.3945,0.39137,0.30293,1.14678,1.71086,1.11318,0.0003095,0.0003095,0.0003095
78,2412.94,1.1647,1.14573,1.09575,0.64044,0.38722,0.39122,0.2999,1.12314,1.66906,1.1004,0.000297125,0.000297125,0.000297125
79,2437.75,1.12202,1.12227,1.07512,0.58733,0.37656,0.39588,0.31183,1.139,1.65156,1.08854,0.00028475,0.00028475,0.00028475
80,2463.29,1.06201,1.07758,1.0403,0.59346,0.3707,0.4106,0.32564,1.14763,1.659,1.0833,0.000272375,0.000272375,0.000272375
81,2487.84,1.12721,1.11819,1.09477,0.66846,0.38863,0.42099,0.32404,1.18592,1.75326,1.09467,0.00026,0.00026,0.00026
82,2512.17,1.14691,1.15088,1.09996,0.61479,0.3999,0.41244,0.31048,1.21112,1.78523,1.10554,0.000247625,0.000247625,0.000247625
83,2541.98,1.15056,1.13609,1.0912,0.77488,0.34149,0.41932,0.33012,1.19557,1.71661,1.11679,0.00023525,0.00023525,0.00023525
84,2568.88,1.09146,1.09742,1.06642,0.73758,0.46389,0.45867,0.32443,1.13346,1.63633,1.09047,0.000222875,0.000222875,0.000222875
85,2602.31,1.1417,1.12,1.09169,0.61861,0.42946,0.44535,0.33753,1.12472,1.62796,1.08001,0.0002105,0.0002105,0.0002105
86,2627.72,1.10439,1.1077,1.09105,0.82414,0.37552,0.43545,0.32397,1.13471,1.66612,1.0747,0.000198125,0.000198125,0.000198125
87,2659.38,1.13134,1.12649,1.10041,0.6501,0.46597,0.46152,0.34451,1.1255,1.65745,1.0778,0.00018575,0.00018575,0.00018575
88,2693.33,1.12355,1.09126,1.0839,0.65397,0.46092,0.47704,0.35935,1.1,1.63205,1.0707,0.000173375,0.000173375,0.000173375
89,2724.34,1.07914,1.07381,1.06529,0.69939,0.44905,0.45816,0.35279,1.08512,1.62191,1.06025,0.000161,0.000161,0.000161
90,2751.41,1.10681,1.10034,1.07594,0.72081,0.46005,0.45103,0.34862,1.08551,1.63015,1.05567,0.000148625,0.000148625,0.000148625
91,2774.47,0.92183,1.07879,0.9867,0.56065,0.52947,0.47631,0.36527,1.09828,1.62264,1.05921,0.00013625,0.00013625,0.00013625
92,2798.04,0.93731,0.99997,0.97687,0.72392,0.47361,0.49666,0.38034,1.09888,1.67834,1.06261,0.000123875,0.000123875,0.000123875
93,2820.27,0.93046,1.00154,0.98969,0.67772,0.47335,0.48849,0.37227,1.09686,1.71099,1.06278,0.0001115,0.0001115,0.0001115
94,2843.77,0.92589,0.96762,0.9672,0.71114,0.45159,0.48047,0.36806,1.08027,1.68181,1.05801,9.9125e-05,9.9125e-05,9.9125e-05
95,2868.15,0.92503,0.9329,0.97923,0.54913,0.50011,0.44477,0.32703,1.06994,1.65471,1.05449,8.675e-05,8.675e-05,8.675e-05
96,2890.32,0.9324,0.93255,0.99087,0.74873,0.48849,0.4841,0.35865,1.06596,1.66513,1.05104,7.4375e-05,7.4375e-05,7.4375e-05
97,2911.72,0.93081,0.90407,0.99211,0.67181,0.49492,0.48108,0.3577,1.07941,1.68159,1.05562,6.2e-05,6.2e-05,6.2e-05
98,2933.13,0.89223,0.90626,0.97951,0.72226,0.52612,0.49264,0.36919,1.08576,1.67367,1.05793,4.9625e-05,4.9625e-05,4.9625e-05
99,2953.87,0.90998,0.90008,0.98235,0.72863,0.51513,0.48953,0.36746,1.07742,1.64641,1.0535,3.725e-05,3.725e-05,3.725e-05
100,2973.88,0.88593,0.88628,0.96649,0.53295,0.53888,0.49176,0.37024,1.07332,1.62019,1.05059,2.4875e-05,2.4875e-05,2.4875e-05
